timestamp_ms,pid,cpu_burst_ms,ground_truth
11982931.23,31720,26.6635,BG
11982961.69,31718,4.3029,LC
11983002.27,31717,8.0804,LC
11983008.12,31720,29.1912,BG
11983027.11,31719,4.9841,LC
11983076.91,31718,4.3256,LC
11983084.12,31720,24.8711,BG
11983163.12,31720,27.4978,BG
11983208.02,31717,5.3207,LC
11983242.72,31720,30.644,BG
11983249.7,31719,4.4403,LC
11983275.88,31718,3.9161,LC
11983289.2,31717,4.2299,LC
11983300.88,31719,3.9781,LC
11983316.49,31720,23.1791,BG
11983389.63,31720,23.2469,BG
11983465.15,31720,25.3498,BG
11983508.13,31718,5.9368,LC
11983529.12,31717,7.1084,LC
11983538.59,31719,4.2279,LC
11983548.55,31720,31.4806,BG
11983567.67,31718,4.3347,LC
11983584.96,31717,5.0947,LC
11983622.07,31720,23.3114,BG
11983658.95,31719,7.2308,LC
11983661.64,31718,5.4428,LC
11983695.58,31720,23.3642,BG
11983768.7,31720,22.9597,BG
11983806.26,31717,4.0164,LC
11983844.12,31720,25.1456,BG
11983905.9,31719,6.0471,LC
11983918.7,31720,24.1069,BG
11983929.52,31718,4.0392,LC
11983992.96,31720,23.7909,BG
11983993.05,31717,5.6944,LC
11984009.82,31719,5.0931,LC
11984065.95,31720,23.1708,BG
11984074.65,31718,4.3,LC
11984081.92,31717,8.645,LC
11984084.1,31719,6.9854,LC
11984120.1,31718,7.3848,LC
11984142.24,31720,25.1051,BG
11984170.34,31717,4.3162,LC
11984216.81,31720,23.2713,BG
11984241.09,31719,4.7004,LC
11984268.08,31718,3.9506,LC
11984290.27,31720,23.4439,BG
11984293.72,31717,4.4609,LC
11984297.87,31719,4.0858,LC
11984322.13,31718,3.9373,LC
11984324.8,31717,4.9203,LC
11984368.51,31720,27.8603,BG
11984424.63,31719,7.0714,LC
11984443.85,31720,25.3046,BG
11984511.65,31718,4.2844,LC
11984519.56,31720,25.5476,BG
11984523.92,31717,4.235,LC
11984539.31,31719,4.0633,LC
11984592.84,31720,23.0517,BG
11984604.29,31718,6.0739,LC
11984659.81,31717,4.0857,LC
11984668.7,31720,25.8432,BG
11984742.04,31720,23.1462,BG
11984816.74,31720,24.6328,BG
11984890.41,31720,23.5638,BG
11984935.83,31719,4.3317,LC
11984966.61,31720,25.9208,BG
11985039.53,31720,22.8272,BG
11985093.92,31718,5.5469,LC
11985118.89,31720,27.268,BG
11985120.49,31717,4.0757,LC
11985194.32,31720,25.2924,BG
11985210.21,31719,3.978,LC
11985217.2,31718,4.0177,LC
11985269.72,31720,25.2597,BG
11985282.25,31717,5.9972,LC
11985287.24,31719,4.0456,LC
11985347.28,31718,6.96,LC
11985350.55,31720,30.6004,BG
11985426.18,31720,25.3844,BG
11985437.39,31717,4.0382,LC
11985499.18,31719,7.0622,LC
11985506.97,31720,30.7204,BG
11985517.43,31718,4.1201,LC
11985556.45,31717,4.2691,LC
11985581.18,31720,24.1133,BG
11985609.39,31719,4.0401,LC
11985647.4,31718,7.1113,LC
11985659.62,31720,28.2295,BG
11985675.9,31717,4.0622,LC
11985735.69,31720,25.9689,BG
11985806.86,31719,6.9413,LC
11985818.85,31718,7.0617,LC
11985818.99,31720,32.3006,BG
11985840.59,31717,4.0656,LC
11985892.4,31720,23.1716,BG
11985956.28,31719,7.2773,LC
11985971.98,31720,29.5581,BG
11985982.08,31718,4.3367,LC
11986013.49,31717,4.0211,LC
11986037.39,31719,4.0483,LC
11986043.53,31718,4.1135,LC
11986049.92,31720,27.8407,BG
11986119.19,31717,4.028,LC
11986125.89,31720,25.8395,BG
11986187.29,31719,4.1013,LC
11986204.48,31720,28.4913,BG
11986235.85,31718,4.0712,LC
11986248.75,31717,4.1785,LC
11986279.56,31720,24.9406,BG
11986293.51,31719,4.0682,LC
11986355.18,31720,23.4449,BG
11986383.2,31718,4.1879,LC
11986419.2,31717,4.9006,LC
11986424.16,31719,4.1466,LC
11986431.53,31720,26.2891,BG
11986504.71,31720,23.0627,BG
11986579.71,31720,24.8764,BG
11986625.42,31718,6.0989,LC
11986651.17,31717,7.476,LC
11986658.06,31720,28.2971,BG
11986731.36,31720,23.1122,BG
11986763.5,31719,4.0557,LC
11986789.03,31718,4.7117,LC
11986805.24,31720,23.6245,BG
11986813.46,31717,6.0096,LC
11986878.28,31720,22.9382,BG
11986947.25,31719,4.725,LC
11986959.18,31718,4.1991,LC
11986959.96,31720,31.5483,BG
11986981.56,31717,5.0942,LC
11986993.59,31718,7.3097,LC
11986993.67,31719,8.1956,LC
11987036.74,31720,26.5763,BG
11987116.37,31717,7.9243,LC
11987118.2,31720,31.3994,BG
11987192.05,31720,23.6201,BG
11987211.44,31718,4.0361,LC
11987268.11,31720,24.4061,BG
11987269.67,31719,4.396,LC
11987271.09,31717,4.4549,LC
11987299.59,31718,4.0752,LC
11987343.52,31720,25.2676,BG
11987373.74,31719,3.9864,LC
11987408.32,31717,5.9343,LC
11987422.5,31720,28.6554,BG
11987436.46,31718,4.2445,LC
11987498.25,31720,25.5711,BG
11987537.17,31719,4.0682,LC
11987551.46,31717,6.1852,LC
11987575.09,31720,25.369,BG
11987648.97,31720,24.3541,BG
11987671.24,31718,4.0644,LC
11987724.58,31720,25.2202,BG
11987725.97,31719,5.055,LC
11987767.76,31717,4.0118,LC
11987791.45,31718,5.8024,LC
11987798.25,31720,23.6604,BG
11987823.67,31719,4.0565,LC
11987840.09,31717,3.9536,LC
11987853.14,31718,4.2532,LC
11987866.13,31719,5.0766,LC
11987876.14,31720,25.9607,BG
11987903.86,31717,8.0159,LC
11987956.2,31720,30.0275,BG
11987967.88,31718,4.2971,LC
11988032.76,31720,26.4076,BG
11988038.55,31719,4.1835,LC
11988105.86,31720,22.9486,BG
11988126.39,31717,4.051,LC
11988166.71,31718,4.4513,LC
11988181.67,31720,25.7269,BG
11988231.36,31719,4.0039,LC
11988258.19,31717,7.9827,LC
11988261.1,31720,27.3723,BG
11988336.56,31718,6.2271,LC
11988338.52,31720,27.1421,BG
11988353.59,31719,4.2359,LC
11988356.41,31717,4.1217,LC
11988415.36,31720,26.5805,BG
11988463.42,31718,4.1485,LC
11988489.1,31719,3.9244,LC
11988489.78,31720,24.485,BG
11988547.39,31717,5.1188,LC
11988565.48,31720,25.6096,BG
11988565.59,31718,4.8096,LC
11988589.91,31719,4.3098,LC
11988622.43,31717,7.7569,LC
11988641.63,31718,6.8108,LC
11988642.44,31720,26.8305,BG
11988714.09,31719,6.248,LC
11988716.15,31720,23.4891,BG
11988740.37,31717,6.0992,LC
11988781.39,31718,8.2055,LC
11988782.4,31719,6.8619,LC
11988789.55,31720,23.2593,BG
11988810.06,31717,3.9729,LC
11988822.34,31718,4.1082,LC
11988867.13,31720,27.2956,BG
11988928.67,31719,4.2697,LC
11988942.77,31720,25.3138,BG
11989022.85,31717,6.0123,LC
11989023.21,31720,29.9885,BG
11989079.08,31718,5.3183,LC
11989098.41,31720,24.9513,BG
11989172.59,31720,24.0014,BG
11989185.88,31719,4.537,LC
11989214.44,31717,4.0869,LC
11989242.26,31718,4.0322,LC
11989245.94,31720,23.3417,BG
11989319.35,31719,4.0395,LC
11989319.79,31720,23.6467,BG
11989374.49,31717,4.0661,LC
11989392.11,31718,4.0365,LC
11989401.3,31719,7.0364,LC
11989404.36,31717,4.3372,LC
11989409.83,31720,39.806,BG
11989445.08,31719,5.0737,LC
11989447.77,31718,4.5436,LC
11989464.06,31719,4.2557,LC
11989484.48,31720,24.3034,BG
11989486.78,31717,6.0642,LC
11989497.66,31718,4.0384,LC
11989510.88,31719,3.9155,LC
11989546.06,31717,4.1872,LC
11989561.51,31720,26.9101,BG
11989577.18,31718,4.764,LC
11989584.77,31719,4.1491,LC
11989592.49,31717,4.254,LC
11989625.4,31718,8.0766,LC
11989640.7,31720,29.0828,BG
11989642.57,31719,4.5694,LC
11989668.8,31717,4.9756,LC
11989673.19,31718,4.1937,LC
11989680.55,31719,4.0629,LC
11989689.3,31717,5.9401,LC
11989689.34,31718,6.0974,LC
11989715.39,31720,24.1368,BG
11989721.86,31719,4.1374,LC
11989741.84,31717,4.5552,LC
11989747.29,31718,4.0517,LC
11989757.14,31719,4.0575,LC
11989783.44,31717,4.0311,LC
11989791.04,31720,25.5876,BG
11989824.31,31718,4.2688,LC
11989834.78,31719,6.1994,LC
11989860.41,31717,5.262,LC
11989870.37,31720,29.2521,BG
11989897.65,31718,7.0973,LC
11989931.04,31719,6.8322,LC
11989948.41,31720,27.9073,BG
11989964.13,31717,7.2386,LC
11989966.28,31718,6.1139,LC
11989967.43,31719,4.7561,LC
11989987.73,31718,4.1706,LC
11990012.15,31717,11.7437,LC
11990016.26,31719,12.5527,LC
11990019.57,31718,4.5211,LC
11990025.22,31717,6.8231,LC
11990028.0,31719,8.2137,LC
11990028.17,31718,6.4833,LC
11990049.09,31717,8.5626,LC
11990049.71,31719,9.1672,LC
11990052.35,31720,53.8851,BG
11990053.56,31718,6.1326,LC
11990059.77,31717,4.779,LC
11990077.35,31719,3.989,LC
11990079.43,31718,4.4928,LC
11990106.39,31717,4.0351,LC
11990126.87,31720,24.3551,BG
11990156.56,31719,5.0986,LC
11990164.09,31718,4.0492,LC
11990171.94,31717,3.9291,LC
11990187.28,31719,3.9333,LC
11990190.66,31718,7.0722,LC
11990203.9,31720,26.9014,BG
11990271.73,31717,4.1587,LC
11990278.65,31720,24.656,BG
11990291.19,31719,4.0196,LC
11990311.38,31717,3.9795,LC
11990311.99,31718,5.7388,LC
11990322.32,31719,5.3606,LC
11990328.74,31717,4.0946,LC
11990339.4,31718,5.189,LC
11990353.37,31719,7.9699,LC
11990360.82,31720,30.3766,BG
11990385.78,31717,5.088,LC
11990393.34,31718,6.6386,LC
11990399.19,31719,8.1763,LC
11990409.92,31717,4.1921,LC
11990414.9,31718,5.2567,LC
11990427.78,31717,5.467,LC
11990430.19,31719,3.9896,LC
11990442.11,31720,27.4752,BG
11990454.0,31718,4.2044,LC
11990462.72,31717,5.0589,LC
11990485.25,31719,4.165,LC
11990504.05,31718,8.0149,LC
11990504.11,31717,5.8845,LC
11990508.84,31719,8.2497,LC
11990522.29,31720,30.0517,BG
11990551.33,31717,4.1118,LC
11990596.81,31718,4.1036,LC
11990597.66,31720,25.1444,BG
11990616.18,31719,3.9601,LC
11990672.96,31720,25.0859,BG
11990746.92,31720,23.7718,BG
11990748.05,31717,4.3135,LC
11990803.48,31718,4.1446,LC
11990820.55,31720,23.4997,BG
11990867.25,31719,10.0245,LC
11990886.2,31717,4.1478,LC
11990911.19,31718,4.3442,LC
11990917.2,31720,45.9322,BG
11990934.33,31719,4.8607,LC
11990983.28,31717,4.0368,LC
11990996.12,31720,28.911,BG
11991072.13,31720,25.8069,BG
11991132.25,31718,4.8034,LC
11991147.18,31720,24.9076,BG
11991178.17,31719,4.0251,LC
11991207.17,31717,4.0199,LC
11991220.6,31720,23.3914,BG
11991293.86,31720,23.1326,BG
11991311.03,31718,4.097,LC
11991370.5,31720,26.5943,BG
11991393.08,31719,4.1062,LC
11991445.55,31720,24.8163,BG
11991523.61,31720,27.7672,BG
11991539.42,31717,4.06,LC
11991580.03,31718,4.1554,LC
11991600.12,31720,26.3855,BG
11991657.1,31719,5.0382,LC
11991676.03,31720,25.6917,BG
11991706.84,31717,4.8448,LC
11991750.25,31720,23.9927,BG
11991807.06,31718,4.232,LC
11991817.71,31719,6.6104,LC
11991829.86,31720,29.3981,BG
11991903.42,31720,23.1672,BG
11991965.51,31717,3.9913,LC
11991978.36,31720,24.0988,BG
11991984.51,31718,4.1871,LC
11992052.9,31720,24.3795,BG
11992102.09,31719,7.1606,LC
11992129.96,31720,26.8537,BG
11992131.49,31717,4.111,LC
11992136.28,31718,4.0473,LC
11992210.11,31720,29.9706,BG
11992230.34,31719,3.9912,LC
11992274.01,31717,4.3177,LC
11992278.56,31718,4.1256,LC
11992287.71,31720,27.3905,BG
11992295.12,31719,3.8684,LC
11992330.62,31717,4.2456,LC
11992360.96,31720,22.9709,BG
11992371.88,31718,4.0107,LC
11992373.88,31719,6.0707,LC
11992418.67,31717,8.0995,LC
11992438.29,31720,25.9847,BG
11992448.9,31718,4.0838,LC
11992451.43,31719,4.2569,LC
11992466.56,31717,4.0689,LC
11992484.37,31718,4.1049,LC
11992511.94,31720,23.6315,BG
11992551.51,31719,8.4401,LC
11992551.64,31717,5.4856,LC
11992575.21,31718,4.0361,LC
11992587.09,31719,6.0966,LC
11992590.44,31720,28.3745,BG
11992599.15,31717,4.2353,LC
11992652.59,31718,7.8248,LC
11992661.19,31719,9.4815,LC
11992670.79,31718,4.0197,LC
11992685.1,31720,39.4699,BG
11992686.87,31718,4.219,LC
11992687.46,31719,6.2883,LC
11992687.58,31717,8.3907,LC
11992729.04,31718,4.1517,LC
11992731.89,31717,4.0856,LC
11992742.99,31719,6.7343,LC
11992762.55,31720,28.9047,BG
11992780.17,31718,5.9024,LC
11992789.56,31717,4.0997,LC
11992789.62,31719,5.1088,LC
11992792.43,31718,4.2479,LC
