timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
9529992.89,23763,1.415,4.231,5.646
9530029.23,23762,5.456,8.742,14.198
9530072.26,23764,0.251,9.712,9.963
9530078.51,23763,0.121,10.732,10.853
9530175.74,23762,0.392,5.338,5.73
9530219.9,23764,0.177,8.98,9.157
9530226.4,23763,0.118,4.035,4.152
9530294.89,23762,0.161,4.314,4.475
9530326.84,23764,0.135,6.987,7.122
9530338.16,23763,0.131,4.824,4.955
9530550.26,23762,4.458,7.132,11.59
9530699.62,23764,0.218,7.086,7.304
9530705.1,23763,0.439,4.262,4.701
9530818.63,23762,0.174,3.937,4.111
9530853.12,23764,0.168,7.746,7.915
9530982.87,23763,3.386,4.779,8.165
9531060.46,23762,0.16,7.206,7.366
9531068.88,23764,0.181,4.136,4.317
9531073.25,23763,0.115,4.147,4.261
9531106.15,23762,0.151,6.117,6.268
9531163.55,23764,0.176,4.079,4.255
9531176.25,23763,0.128,7.055,7.183
9531239.04,23762,0.155,4.624,4.78
9531247.61,23764,0.183,4.637,4.82
9531330.05,23763,0.18,4.427,4.607
9531361.59,23762,0.179,6.175,6.354
9531458.55,23764,0.23,8.452,8.683
9531506.28,23763,0.32,9.091,9.411
9531516.34,23762,0.107,6.047,6.154
9531616.3,23764,0.179,4.144,4.323
9531634.25,23763,0.164,4.27,4.434
9531688.57,23762,2.156,10.432,12.588
9531740.19,23764,0.234,7.6,7.834
9531875.07,23763,0.17,8.799,8.969
9531932.28,23762,0.215,5.136,5.351
9531945.46,23764,0.143,8.152,8.295
9531987.42,23763,0.201,4.126,4.327
9532009.1,23762,0.144,4.697,4.841
9532033.56,23764,0.123,8.03,8.154
9532052.12,23763,0.087,8.162,8.249
9532082.88,23762,0.124,4.743,4.867
9532087.15,23764,2.92,4.029,6.949
9532197.68,23763,0.157,5.998,6.155
9532218.85,23762,0.158,3.993,4.151
9532234.32,23764,0.224,4.101,4.325
9532275.5,23763,0.145,6.919,7.065
9532304.14,23762,0.131,4.069,4.201
9532339.17,23764,2.04,4.045,6.085
9532344.36,23763,0.064,5.249,5.313
9532386.54,23764,0.126,4.07,4.196
9532445.75,23762,2.043,6.626,8.67
9532453.08,23763,0.163,4.268,4.431
9532520.28,23764,1.528,4.086,5.614
9532551.17,23762,0.149,4.158,4.307
9532576.79,23763,0.204,6.249,6.453
9532577.16,23764,0.091,4.039,4.13
9532588.37,23763,0.058,5.032,5.09
9532590.25,23762,0.116,8.086,8.202
9532611.98,23764,0.136,6.037,6.173
9532620.66,23763,0.077,8.527,8.603
9532632.04,23764,2.026,5.946,7.972
9532639.12,23762,0.076,4.008,4.083
9532673.91,23764,0.072,4.32,4.391
9532674.09,23763,0.154,6.137,6.29
9532687.89,23762,0.131,5.112,5.243
9532705.63,23764,0.119,13.373,13.493
9532730.35,23763,0.18,6.058,6.238
9532738.91,23762,0.131,5.42,5.551
9532760.6,23764,0.256,6.25,6.507
9532775.88,23763,0.152,4.233,4.385
9532788.69,23762,0.083,6.322,6.405
9532796.38,23764,0.089,10.421,10.51
9532796.61,23763,0.075,4.494,4.569
9532802.99,23762,0.176,6.293,6.469
9532805.36,23764,0.05,5.489,5.538
9532826.22,23763,0.084,4.065,4.149
9532830.48,23762,0.319,4.121,4.441
9532848.53,23764,0.069,4.863,4.932
