timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
11393336.83,66934,0.949,4.947,5.896
11393361.63,66936,0.524,4.846,5.37
11393441.41,66935,0.38,4.373,4.754
11393493.55,66934,0.566,4.6,5.166
11393520.77,66936,0.431,7.258,7.689
11393582.37,66935,0.21,13.803,14.014
11393582.79,66934,0.209,11.46,11.668
11393598.18,66936,0.326,4.299,4.625
11393618.29,66935,0.304,7.958,8.262
11393625.05,66934,0.306,10.186,10.492
11393626.76,66936,0.132,6.48,6.612
11393630.08,66935,0.111,5.478,5.589
11393633.44,66934,0.219,4.467,4.686
11393634.84,66935,0.084,4.514,4.598
11393647.5,66936,0.161,6.476,6.637
11393652.79,66934,2.043,6.688,8.731
11393658.64,66935,0.098,4.436,4.534
11393675.18,66936,0.159,4.064,4.224
11393701.06,66934,0.353,7.15,7.503
11393704.31,66935,0.194,10.136,10.33
11393705.13,66936,0.095,8.804,8.9
11393711.24,66934,0.179,6.081,6.26
11393736.97,66935,0.159,10.524,10.683
11393737.66,66934,0.554,9.526,10.08
11393738.33,66936,0.267,14.237,14.504
11393741.5,66935,1.03,4.432,5.462
11393747.08,66934,0.132,4.383,4.515
11393808.99,66936,0.613,9.936,10.55
11393812.86,66935,0.472,10.71,11.182
11393823.42,66934,0.157,5.992,6.149
11393859.75,66936,0.324,7.268,7.592
11393893.8,66935,0.379,9.779,10.158
11394011.09,66934,0.209,4.38,4.589
11394038.07,66936,0.47,6.839,7.309
11394042.88,66935,0.115,5.557,5.672
11394073.63,66936,0.3,10.076,10.375
11394086.23,66934,0.111,4.237,4.348
11394108.41,66935,0.339,4.192,4.531
11394117.77,66936,0.107,4.178,4.285
11394119.81,66934,0.106,4.072,4.178
11394133.6,66936,0.232,4.483,4.715
11394176.22,66935,0.325,4.501,4.827
11394179.87,66934,0.23,4.058,4.288
11394187.71,66935,0.43,4.076,4.506
11394216.21,66936,0.358,4.067,4.424
11394260.09,66934,0.309,4.167,4.477
11394289.71,66935,0.277,5.119,5.397
11394336.81,66936,0.382,5.24,5.623
