timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
3410214.86,13923,2.475,5.85,8.325
3410231.23,13922,0.324,4.392,4.716
3410301.45,13924,0.32,6.221,6.541
3410303.28,13923,0.254,4.603,4.857
3410442.55,13922,0.545,7.53,8.075
3410529.46,13924,0.285,3.994,4.279
3410577.33,13923,0.631,7.806,8.437
3410659.99,13922,0.334,6.999,7.332
3410663.87,13924,0.189,8.743,8.932
3410668.71,13923,1.071,7.594,8.664
3410723.82,13922,0.551,9.592,10.142
3410841.51,13924,0.429,7.152,7.581
3410907.31,13923,0.381,6.566,6.948
3411016.45,13922,0.168,6.19,6.359
3411027.51,13924,0.187,4.264,4.451
3411320.7,13923,0.89,9.665,10.555
3411359.7,13922,0.108,4.22,4.328
3411372.38,13924,0.217,4.139,4.356
3411408.83,13923,0.702,10.067,10.769
3411538.67,13922,0.426,5.146,5.572
3411544.08,13924,0.288,4.665,4.953
3411616.51,13923,0.306,4.107,4.413
3411660.95,13922,0.902,10.507,11.409
3411661.51,13924,0.425,9.649,10.074
3411746.37,13923,0.44,11.344,11.784
3411805.82,13922,0.312,7.166,7.478
3411828.7,13924,0.827,8.73,9.556
3411881.32,13923,0.591,10.072,10.663
3411888.85,13922,0.434,6.577,7.01
3411937.59,13924,0.172,4.173,4.345
3411951.68,13923,0.302,4.384,4.686
3411993.98,13922,0.682,10.614,11.296
3412021.99,13924,1.343,6.97,8.314
3412037.77,13923,0.419,5.781,6.2
3412087.97,13922,0.616,10.928,11.545
3412209.94,13924,0.209,4.429,4.639
3412328.55,13923,0.805,9.525,10.33
3412489.25,13922,0.723,9.719,10.442
3412491.07,13924,0.387,7.568,7.955
3412661.96,13923,0.287,4.192,4.479
3412716.12,13922,0.356,5.928,6.283
3412779.48,13924,0.296,4.323,4.619
3412957.67,13923,0.239,4.114,4.353
3412965.03,13922,0.258,3.996,4.254
3413071.72,13924,0.15,4.25,4.399
3413072.34,13923,0.076,4.07,4.146
3413078.45,13922,0.157,4.083,4.24
3413096.81,13924,0.398,4.323,4.721
3413096.93,13923,0.303,4.355,4.658
3413136.11,13922,0.195,10.74,10.935
3413138.99,13924,3.283,10.389,13.672
3413152.35,13923,4.083,13.236,17.319
3413169.5,13924,0.18,6.723,6.904
3413195.72,13922,0.219,7.223,7.442
3413218.12,13923,1.609,5.378,6.987
3413229.01,13924,0.67,4.396,5.066
3413247.87,13922,0.102,5.123,5.225
3413265.16,13923,0.351,5.302,5.653
3413271.77,13924,0.348,6.287,6.635
3413272.47,13923,0.725,4.247,4.971
3413303.79,13922,0.214,4.232,4.447
3413337.85,13924,0.478,8.679,9.157
3413364.74,13923,0.409,12.762,13.171
3413373.91,13923,0.294,6.379,6.673
3413376.93,13922,0.257,12.37,12.628
