timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
633100.89,5368,0.982,6.696,7.678
633127.28,5367,0.28,4.568,4.848
633202.83,5369,0.276,6.233,6.509
633252.11,5368,0.208,6.507,6.715
633279.44,5367,0.409,8.458,8.867
633303.81,5369,0.24,6.2,6.44
633318.46,5368,0.321,8.712,9.033
633368.47,5367,0.427,3.97,4.397
633385.39,5369,0.182,5.554,5.735
633387.51,5368,0.187,4.539,4.726
633523.56,5367,0.275,9.115,9.39
633624.88,5369,0.279,4.259,4.538
633706.81,5368,0.145,4.214,4.359
633764.41,5367,0.251,8.059,8.31
633855.44,5369,1.023,5.028,6.051
633931.67,5368,2.677,8.156,10.833
634003.09,5367,0.44,7.739,8.178
634030.3,5369,0.253,4.067,4.32
634102.84,5368,0.265,4.804,5.069
634121.44,5367,0.23,4.113,4.343
634246.68,5369,0.439,12.155,12.594
634275.2,5368,0.123,7.044,7.167
634321.24,5367,0.331,10.638,10.969
634448.18,5369,0.338,5.673,6.011
634487.39,5368,0.156,4.606,4.761
634498.98,5367,0.223,8.373,8.596
634586.56,5369,0.293,9.339,9.632
634607.45,5368,0.157,4.136,4.293
634613.27,5367,0.138,4.093,4.231
634731.35,5369,0.38,9.905,10.285
634786.17,5368,0.446,6.383,6.828
634792.37,5367,0.606,5.29,5.896
634860.8,5369,0.288,4.953,5.241
635055.1,5368,0.292,5.907,6.199
635316.37,5367,0.793,15.482,16.275
635317.24,5369,0.249,15.755,16.004
635337.43,5368,0.13,4.064,4.194
635449.57,5367,0.611,7.356,7.968
635457.04,5369,0.148,5.458,5.607
635469.91,5368,0.332,7.062,7.394
635479.17,5367,0.322,6.286,6.609
635492.75,5369,0.352,4.394,4.746
635495.1,5368,1.036,3.99,5.025
635541.39,5367,0.716,10.069,10.785
635568.61,5369,0.229,7.893,8.122
635585.26,5368,0.267,16.101,16.369
635586.62,5367,0.099,15.947,16.046
635588.11,5369,0.089,14.972,15.061
635591.61,5368,6.773,6.236,13.009
635628.13,5367,0.29,6.736,7.026
635643.61,5369,0.177,10.112,10.288
635646.63,5368,0.191,9.468,9.659
635651.93,5367,0.088,8.132,8.22
635676.17,5369,0.107,4.657,4.764
635685.82,5368,0.099,8.017,8.116
635750.46,5367,0.198,4.942,5.141
635757.28,5369,0.117,6.487,6.604
635761.42,5368,1.304,5.237,6.54
635765.1,5369,0.088,4.45,4.538
635782.81,5368,0.321,4.563,4.884
635789.13,5367,0.329,4.207,4.536
635799.18,5369,0.108,4.478,4.586
635812.53,5368,0.223,4.431,4.654
635841.3,5367,0.164,4.138,4.302
635882.56,5369,0.428,8.727,9.155
635889.05,5368,0.181,10.455,10.636
635890.69,5367,0.941,6.287,7.228
635893.34,5369,0.069,4.138,4.207
635898.03,5368,0.172,4.091,4.263
635907.65,5367,0.181,4.501,4.682
635917.51,5369,0.255,4.074,4.329
635970.17,5368,0.61,4.83,5.44
635989.48,5367,0.138,10.49,10.628
636020.64,5369,0.242,5.056,5.298
636040.06,5368,0.197,4.269,4.466
636050.59,5367,0.152,4.089,4.241
636070.5,5369,0.305,8.292,8.598
636072.41,5368,0.154,4.2,4.354
636096.36,5367,0.2,5.842,6.042
636107.79,5369,0.147,7.546,7.693
636124.64,5368,0.347,6.91,7.257
636129.12,5367,0.145,5.921,6.066
636154.59,5368,0.175,4.071,4.246
636156.46,5369,0.083,4.206,4.289
636161.24,5367,0.126,4.039,4.165
636171.62,5368,0.165,4.293,4.459
636174.91,5369,0.099,5.882,5.981
636180.97,5367,0.691,5.857,6.547
636200.34,5368,0.171,5.367,5.538
636303.7,5369,0.154,4.918,5.072
636308.78,5367,0.102,4.22,4.322
636333.25,5368,0.132,6.824,6.955
636350.91,5369,0.338,6.178,6.517
636384.36,5367,0.395,12.867,13.262
636385.28,5368,0.131,10.14,10.27
636400.42,5369,0.299,4.036,4.336
636405.93,5367,0.122,4.141,4.263
636455.69,5368,0.468,9.927,10.395
636460.22,5369,0.181,8.993,9.174
636464.89,5367,1.106,6.72,7.826
636483.27,5368,0.097,4.028,4.124
636498.08,5369,0.097,4.198,4.295
636557.01,5367,0.292,4.615,4.907
636575.43,5368,0.198,4.362,4.56
636595.04,5369,0.314,8.573,8.887
636610.19,5367,0.252,6.038,6.29
636625.19,5368,1.095,6.058,7.153
636631.48,5369,1.95,6.219,8.17
636633.71,5368,0.093,6.354,6.447
636636.31,5367,0.067,4.014,4.082
636646.52,5368,0.089,3.949,4.037
636653.62,5369,0.228,4.194,4.422
636656.48,5367,0.115,4.286,4.4
636687.13,5369,0.536,8.626,9.161
636718.66,5368,0.375,5.491,5.866
636799.39,5367,0.357,7.147,7.504
636805.06,5369,0.447,5.478,5.925
636815.34,5368,0.09,3.965,4.055
636820.41,5367,0.082,4.858,4.939
636833.91,5369,0.108,5.243,5.351
636841.11,5368,0.176,6.2,6.376
636883.95,5367,0.744,17.317,18.062
636890.79,5369,0.173,16.562,16.735
636890.88,5368,0.1,11.688,11.788
636908.9,5367,0.085,4.016,4.1
636933.5,5369,0.382,8.833,9.215
636936.97,5368,0.163,7.552,7.715
636944.71,5367,0.148,6.423,6.57
636954.07,5369,0.29,7.07,7.36
636974.88,5367,0.085,5.981,6.067
636975.44,5368,0.215,8.175,8.39
637048.66,5369,0.288,4.107,4.395
637053.42,5368,0.098,4.105,4.202
637065.52,5367,0.195,4.029,4.224
637076.53,5369,0.111,5.29,5.401
637119.57,5368,0.207,10.351,10.559
637126.47,5367,0.109,4.099,4.207
637146.17,5369,0.131,5.826,5.958
637173.51,5368,0.351,8.095,8.446
637188.32,5367,0.496,8.2,8.695
637200.19,5369,0.084,4.047,4.131
637285.92,5368,0.181,4.281,4.462
637289.47,5367,0.081,4.341,4.422
637304.09,5368,0.178,8.461,8.639
637304.39,5369,0.082,7.196,7.278
637311.52,5367,0.196,4.166,4.362
637313.72,5368,0.2,4.451,4.651
637323.51,5369,0.18,4.53,4.71
637324.84,5367,0.08,4.198,4.278
637343.76,5368,0.243,4.986,5.229
637371.72,5369,0.41,4.431,4.841
637399.93,5367,0.278,8.079,8.357
637429.37,5368,0.282,7.967,8.249
637449.2,5369,0.105,4.032,4.137
637455.51,5367,0.117,4.057,4.174
637460.56,5368,0.085,4.183,4.269
637499.13,5369,0.305,11.183,11.488
637542.01,5367,0.324,5.614,5.938
637626.68,5368,0.161,5.335,5.496
637645.11,5369,0.636,8.443,9.079
637661.27,5367,0.265,4.217,4.481
637668.09,5368,0.213,4.189,4.402
637912.48,5369,0.956,9.21,10.166
637983.18,5367,0.643,10.21,10.853
637990.8,5368,0.448,5.23,5.678
637999.1,5367,1.213,5.992,7.205
637999.15,5369,1.228,8.032,9.26
638186.5,5368,0.173,4.177,4.349
638224.17,5367,0.18,4.364,4.544
638346.03,5369,0.411,5.396,5.807
638397.75,5368,0.205,6.846,7.051
638544.07,5367,1.197,10.382,11.579
638547.75,5369,0.298,11.763,12.061
638561.2,5368,0.452,5.742,6.195
638603.74,5367,0.51,9.373,9.883
638632.63,5369,0.223,8.088,8.311
638668.89,5368,0.299,7.381,7.68
638718.78,5367,0.217,15.237,15.454
638720.43,5369,0.108,13.229,13.337
638796.43,5368,0.431,9.625,10.056
638810.81,5369,0.269,7.21,7.479
638989.52,5367,0.19,15.294,15.484
638990.42,5368,1.252,5.103,6.355
638998.82,5369,0.117,5.186,5.304
639052.68,5367,0.169,5.407,5.576
639170.61,5368,0.197,5.881,6.079
639220.27,5369,0.14,4.066,4.206
639263.24,5367,0.532,10.44,10.972
639350.48,5368,0.639,10.237,10.875
639368.74,5369,0.236,4.589,4.824
639372.09,5367,0.085,4.126,4.211
639459.19,5369,0.392,10.381,10.772
639623.78,5368,0.152,4.894,5.046
639665.37,5367,0.256,7.391,7.647
639698.64,5369,0.409,7.952,8.361
639738.17,5368,0.262,5.475,5.737
