time,pid,type,nice,success
15:19:20.173625,28200,LC,-5,1
15:19:20.174771,28199,LC,-5,1
15:19:20.174839,28201,LC,-5,1
15:19:20.174881,28202,BG,15,1
15:19:30.177129,28202,LC,-5,1
15:19:32.178021,28202,BG,15,1
15:19:34.179737,28202,LC,-5,1
15:19:40.182493,28202,BG,15,1
15:19:46.185284,28202,LC,-5,1
15:19:48.185551,28202,BG,15,1
15:20:20.195039,28202,LC,-5,1
15:20:22.196878,28202,BG,15,1
15:20:28.203504,28202,LC,-5,1
15:20:30.203847,28202,BG,15,1
15:20:38.206227,28202,LC,-5,1
15:20:40.207807,28202,BG,15,1
15:21:20.217531,28202,LC,-5,1
15:21:26.218679,28202,BG,15,1
15:22:18.244249,28202,LC,-5,1
15:22:20.245588,28202,BG,15,1
15:22:26.246511,28202,LC,-5,1
15:22:28.248704,28202,BG,15,1
15:22:30.249145,28202,LC,-5,1
15:22:32.249522,28202,BG,15,1
15:22:38.254722,28202,LC,-5,1
15:22:40.255610,28202,BG,15,1
15:22:54.259131,28202,LC,-5,1
15:22:56.261018,28202,BG,15,1
15:23:08.263665,28202,LC,-5,1
15:23:10.264560,28202,BG,15,1
15:23:40.272742,28202,LC,-5,1
15:23:42.273084,28202,BG,15,1
15:23:58.276339,28202,LC,-5,1
15:24:00.277660,28202,BG,15,1
15:24:02.278260,28202,LC,-5,1
15:24:04.278642,28202,BG,15,1
15:24:12.281066,28202,LC,-5,1
15:24:14.282507,28202,BG,15,1
