timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
11355285.18,28200,0.768,4.367,5.135
11355307.78,28199,0.238,4.064,4.302
11355314.04,28201,1.158,5.61,6.768
11355325.94,28200,0.104,4.019,4.123
11355370.2,28199,0.245,7.013,7.258
11355382.98,28201,0.213,6.121,6.334
11355392.46,28200,0.105,8.617,8.722
11355394.99,28199,0.103,7.703,7.806
11355410.98,28201,0.122,5.228,5.35
11355435.87,28200,0.214,4.966,5.179
11355510.48,28199,0.199,4.253,4.452
11355522.64,28201,0.144,4.096,4.24
11355548.92,28200,0.129,6.679,6.808
11355556.04,28199,0.096,6.787,6.883
11355563.29,28200,0.091,4.67,4.76
11355575.49,28201,0.114,7.702,7.816
11355576.11,28199,0.055,4.431,4.486
11355593.94,28200,0.099,4.069,4.168
11355613.23,28201,0.397,6.868,7.265
11355642.15,28199,0.255,6.669,6.924
11355654.69,28200,0.243,6.473,6.716
11355655.29,28201,0.064,4.153,4.218
11355658.31,28199,0.127,6.213,6.34
11355702.31,28200,0.325,4.116,4.441
11355714.24,28201,0.616,8.384,9.0
11355716.34,28199,0.144,5.999,6.143
11355749.74,28200,0.285,4.55,4.835
11355811.23,28201,0.133,4.112,4.245
11355822.65,28199,0.205,4.138,4.343
11355839.3,28200,0.167,5.025,5.192
11355841.01,28201,0.223,4.591,4.814
11355856.39,28199,0.187,4.77,4.957
11355861.38,28200,0.145,7.327,7.473
11355876.16,28201,2.99,11.983,14.973
11355876.71,28199,2.795,8.598,11.393
11355888.73,28201,0.169,8.584,8.753
11355889.24,28200,1.37,13.038,14.407
11355904.89,28199,0.172,3.992,4.164
11355908.22,28201,0.129,4.257,4.386
11355918.3,28200,0.297,6.405,6.702
11355926.51,28199,0.3,4.357,4.658
11355927.55,28201,0.082,4.826,4.908
11355931.75,28200,0.069,5.063,5.132
11355942.54,28199,0.16,4.314,4.474
11355952.21,28201,0.137,4.892,5.029
11355960.41,28200,0.116,4.113,4.229
11355965.18,28199,0.098,4.362,4.459
11355972.21,28201,1.096,8.944,10.04
11355983.16,28200,0.124,5.081,5.204
11355997.92,28199,0.208,8.107,8.314
11356001.41,28201,0.569,5.184,5.753
11356008.43,28200,0.133,4.312,4.446
11356020.55,28199,0.382,4.257,4.639
11356035.24,28201,1.216,4.994,6.21
11356037.52,28200,0.166,6.066,6.232
11356047.78,28199,0.121,5.337,5.458
11356070.0,28201,0.176,5.288,5.464
11356092.92,28200,0.259,4.415,4.674
11356094.03,28199,0.168,4.254,4.422
11356108.7,28201,0.374,4.765,5.139
11356171.24,28200,0.196,4.079,4.276
11356202.45,28199,0.825,10.125,10.95
11356203.27,28201,1.872,6.28,8.153
11356207.49,28200,2.493,4.574,7.066
11356227.53,28201,0.426,6.934,7.359
11356227.6,28199,0.301,9.082,9.383
11356235.72,28200,0.226,7.277,7.504
11356239.47,28201,0.138,8.253,8.391
11356241.14,28199,0.15,6.274,6.424
11356250.01,28200,0.232,6.275,6.507
11356298.5,28201,0.204,5.094,5.298
11356301.5,28199,0.085,7.041,7.125
