timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
11038184.27,27254,2.533,4.503,7.036
11038199.04,27256,0.208,5.167,5.374
11038205.59,27255,0.162,6.219,6.381
11038432.68,27256,0.327,4.187,4.513
11038437.67,27254,0.229,4.062,4.291
11038444.53,27255,0.242,4.157,4.399
11038508.66,27256,0.179,5.128,5.307
11038526.87,27254,0.174,4.086,4.259
11038530.35,27255,0.218,4.003,4.22
11038546.72,27256,0.326,5.979,6.305
11038689.62,27254,0.233,4.268,4.501
11038753.83,27255,0.372,7.722,8.094
11038833.25,27256,0.343,4.104,4.447
11038917.8,27254,0.433,5.75,6.183
11038994.56,27255,0.308,8.064,8.372
11039052.7,27256,0.413,8.763,9.176
11039064.78,27254,0.263,8.239,8.502
11039085.44,27255,0.318,7.021,7.339
11039088.21,27256,1.094,5.037,6.131
11039094.28,27254,0.239,4.065,4.304
11039175.2,27255,0.213,4.132,4.346
11039204.15,27256,0.453,6.066,6.519
11039235.75,27254,0.233,8.338,8.57
11039266.82,27255,0.137,4.113,4.251
11039405.89,27256,0.533,8.096,8.629
11039466.04,27254,1.195,9.511,10.706
11039477.6,27255,0.422,8.066,8.488
11039483.58,27256,0.2,6.437,6.637
11039523.99,27255,0.297,6.633,6.93
11039579.21,27254,0.201,4.514,4.715
11039585.18,27256,0.089,4.012,4.101
11039707.67,27255,0.622,9.182,9.804
11039737.35,27254,1.575,9.028,10.602
11039912.19,27256,0.3,8.325,8.625
11039912.35,27255,0.058,5.415,5.473
11039973.27,27254,0.258,8.823,9.081
11039978.33,27256,0.154,9.956,10.109
11039987.23,27255,0.259,5.675,5.934
11040046.42,27254,0.342,9.346,9.688
11040158.15,27256,0.222,4.798,5.02
11040182.39,27255,0.335,8.594,8.929
11040211.4,27256,0.335,9.57,9.905
11040213.4,27254,0.947,13.947,14.894
11040395.65,27255,0.454,6.078,6.532
11040691.94,27256,0.285,4.338,4.622
11040762.61,27254,0.257,9.8,10.057
11040867.96,27255,0.26,6.505,6.764
11040906.25,27256,0.218,4.047,4.265
11040968.9,27254,0.233,11.424,11.656
11040969.38,27255,0.162,10.019,10.181
11040975.65,27256,0.117,4.011,4.129
11041031.89,27254,0.291,12.015,12.306
11041044.69,27255,0.291,5.408,5.699
11041083.58,27256,0.515,8.354,8.869
11041123.13,27254,0.548,12.741,13.289
11041127.53,27255,1.665,6.594,8.259
11041266.73,27256,1.019,10.779,11.798
11041321.86,27254,0.168,6.04,6.209
11041326.84,27255,0.556,4.302,4.858
11041399.43,27256,0.152,4.167,4.319
11041706.2,27254,0.216,7.254,7.47
11041781.49,27255,0.277,8.707,8.983
11041846.85,27256,0.393,12.035,12.428
11041860.08,27254,0.493,9.337,9.83
11041866.29,27255,0.641,5.74,6.381
11041955.68,27256,0.297,4.13,4.426
11042017.89,27254,0.451,10.672,11.122
11042135.76,27255,0.568,4.292,4.86
