timestamp_ms,pid,cpu_burst_ms,ground_truth
11038185.44,27254,4.5026,LC
11038195.18,27257,26.9181,BG
11038200.45,27256,5.1668,LC
11038205.74,27255,6.2192,LC
11038273.28,27257,29.8252,BG
11038351.27,27257,27.7722,BG
11038432.51,27256,4.1867,LC
11038436.01,27257,34.4805,BG
11038437.8,27254,4.0616,LC
11038444.58,27255,4.157,LC
11038508.78,27256,5.1283,LC
11038519.13,27257,32.94,BG
11038527.07,27254,4.0856,LC
11038530.41,27255,4.0025,LC
11038546.87,27256,5.9794,LC
11038602.6,27257,33.0695,BG
11038688.37,27257,35.5101,BG
11038689.87,27254,4.2682,LC
11038753.91,27255,7.7222,LC
11038771.79,27257,33.1912,BG
11038833.47,27256,4.1037,LC
11038847.08,27257,24.9447,BG
11038918.13,27254,5.75,LC
11038933.53,27257,36.1919,BG
11038994.92,27255,8.0644,LC
11039018.37,27257,34.5381,BG
11039052.92,27256,8.7631,LC
11039065.29,27254,8.2391,LC
11039087.21,27255,7.0214,LC
11039088.36,27256,5.0372,LC
11039094.48,27254,4.0651,LC
11039097.87,27257,29.1938,BG
11039171.08,27257,23.1028,BG
11039175.41,27255,4.1322,LC
11039204.28,27256,6.0657,LC
11039236.07,27254,8.3376,LC
11039256.23,27257,34.6502,BG
11039267.12,27255,4.1134,LC
11039344.31,27257,37.7433,BG
11039406.25,27256,8.0961,LC
11039427.46,27257,32.8314,BG
11039466.28,27254,9.5109,LC
11039477.75,27255,8.0661,LC
11039483.82,27256,6.4374,LC
11039508.48,27257,30.3024,BG
11039524.38,27255,6.6334,LC
11039579.38,27254,4.5137,LC
11039586.22,27256,4.0117,LC
11039592.69,27257,34.13,BG
11039666.94,27257,23.9086,BG
11039707.86,27255,9.1819,LC
11039738.24,27254,9.0276,LC
11039751.1,27257,33.9334,BG
11039835.25,27257,33.9051,BG
11039912.49,27255,5.4149,LC
11039912.66,27256,8.3253,LC
11039914.44,27257,28.9117,BG
11039973.56,27254,8.8232,LC
11039978.56,27256,9.9556,LC
11039987.16,27255,5.6752,LC
11039999.45,27257,34.8045,BG
11040046.6,27254,9.3459,LC
11040077.59,27257,27.9503,BG
11040158.33,27256,4.7975,LC
11040159.49,27257,31.7832,BG
11040182.55,27255,8.594,LC
11040212.27,27256,9.5702,LC
11040213.64,27254,13.9472,LC
11040237.2,27257,25.9672,BG
11040318.49,27257,31.0814,BG
11040395.85,27255,6.0784,LC
11040408.38,27257,39.7447,BG
11040488.42,27257,29.905,BG
11040569.54,27257,30.6825,BG
11040652.28,27257,32.614,BG
11040692.12,27256,4.3378,LC
11040725.49,27257,22.9385,BG
11040762.87,27254,9.7997,LC
11040808.43,27257,32.6228,BG
11040868.06,27255,6.5047,LC
11040894.11,27257,35.2361,BG
11040906.24,27256,4.0466,LC
11040969.14,27254,11.4235,LC
11040969.3,27255,10.0187,LC
11040975.68,27256,4.0111,LC
11040978.85,27257,34.5899,BG
11041032.15,27254,12.015,LC
11041044.71,27255,5.4077,LC
11041061.24,27257,32.075,BG
11041083.84,27256,8.3541,LC
11041120.74,27254,12.7411,LC
11041127.43,27255,6.5937,LC
11041143.4,27257,31.2577,BG
11041228.41,27257,34.749,BG
11041266.93,27256,10.779,LC
11041308.49,27257,29.7844,BG
11041322.27,27254,6.0403,LC
11041327.07,27255,4.3023,LC
11041395.35,27257,36.4999,BG
11041399.58,27256,4.1669,LC
11041479.62,27257,33.8204,BG
11041559.67,27257,24.9849,BG
11041642.16,27257,32.2448,BG
11041706.45,27254,7.2545,LC
11041722.71,27257,30.2194,BG
11041781.85,27255,8.7067,LC
11041804.87,27257,31.9968,BG
11041846.98,27256,12.0352,LC
11041860.44,27254,9.337,LC
11041866.07,27255,5.7403,LC
11041883.36,27257,28.1514,BG
11041955.97,27256,4.1296,LC
11041962.29,27257,28.7354,BG
11042018.22,27254,10.6719,LC
11042043.54,27257,30.2372,BG
11042126.75,27257,32.8035,BG
11042137.28,27255,4.292,LC
11042203.08,27257,25.8132,BG
11042204.76,27256,5.2076,LC
11042222.18,27254,4.627,LC
11042277.27,27257,24.0044,BG
11042338.48,27255,4.0343,LC
11042352.36,27257,24.852,BG
11042441.22,27257,38.5759,BG
11042494.33,27256,11.3523,LC
11042525.09,27257,33.5453,BG
11042538.35,27254,5.8532,LC
11042615.26,27257,39.5728,BG
11042645.48,27255,10.1502,LC
11042696.74,27256,5.2674,LC
11042696.81,27257,31.4092,BG
11042766.62,27254,6.019,LC
11042784.35,27257,36.848,BG
11042797.18,27255,7.5956,LC
11042808.42,27256,7.4384,LC
11042866.25,27257,30.59,BG
11042870.04,27254,4.2664,LC
11042959.86,27257,43.9761,BG
11042980.8,27255,7.0218,LC
11042981.08,27256,5.6436,LC
11043002.26,27254,4.5358,LC
11043006.73,27255,4.0711,LC
11043024.12,27254,6.0843,LC
11043024.2,27256,8.2517,LC
11043024.65,27255,5.4804,LC
11043037.07,27257,27.1719,BG
11043045.97,27256,4.1587,LC
11043104.25,27254,8.0552,LC
11043124.3,27255,12.6146,LC
11043137.99,27256,7.1408,LC
11043144.06,27257,53.0739,BG
11043147.1,27254,4.5805,LC
11043168.82,27255,4.4933,LC
11043209.68,27256,4.758,LC
11043215.35,27254,5.0795,LC
11043221.52,27255,4.4054,LC
11043255.41,27256,5.0148,LC
11043264.19,27257,71.9923,BG
11043271.57,27254,4.1471,LC
11043275.96,27255,4.8034,LC
11043285.11,27256,4.3485,LC
11043295.4,27254,4.225,LC
11043344.38,27257,29.9599,BG
11043367.61,27255,4.982,LC
11043368.49,27256,5.0082,LC
11043424.38,27254,4.1215,LC
11043427.33,27255,5.0935,LC
11043429.76,27257,35.3861,BG
11043436.17,27256,4.1286,LC
11043458.16,27254,7.4011,LC
11043458.8,27255,4.8198,LC
11043470.69,27256,5.0793,LC
11043476.03,27254,4.5451,LC
11043503.27,27255,4.0154,LC
11043508.39,27257,28.2141,BG
11043520.78,27256,4.1424,LC
11043522.88,27254,4.5575,LC
11043525.34,27255,4.3236,LC
11043531.15,27256,4.4098,LC
11043564.39,27254,7.8361,LC
11043570.12,27255,5.2676,LC
11043585.13,27256,4.3742,LC
11043587.51,27254,4.1934,LC
11043589.93,27257,30.6891,BG
11043595.8,27256,4.0757,LC
11043602.39,27255,4.4981,LC
11043609.81,27254,4.1588,LC
11043630.75,27256,7.019,LC
11043641.09,27255,7.2607,LC
11043675.71,27257,34.7157,BG
11043676.33,27254,5.429,LC
11043692.17,27256,4.2914,LC
11043713.11,27255,4.17,LC
11043714.81,27254,4.1565,LC
11043721.68,27256,4.1153,LC
11043727.72,27255,5.9747,LC
11043732.62,27256,4.0574,LC
11043747.08,27254,4.1184,LC
11043751.22,27257,26.004,BG
11043792.31,27255,8.7101,LC
11043804.05,27256,8.0827,LC
11043820.44,27254,4.0227,LC
11043829.68,27257,28.4489,BG
11043889.1,27255,8.8181,LC
11043891.91,27256,8.5319,LC
11043912.66,27257,32.7773,BG
11043956.66,27254,9.9371,LC
11043974.13,27255,7.26,LC
11043987.57,27256,5.675,LC
11043989.48,27254,5.1026,LC
11043999.77,27257,36.4917,BG
11044033.55,27255,4.4008,LC
11044059.39,27256,6.0405,LC
11044071.13,27254,4.1673,LC
11044093.96,27257,42.3064,BG
11044117.2,27255,5.3468,LC
11044123.78,27256,6.6526,LC
11044129.1,27254,4.2825,LC
11044146.8,27255,4.3282,LC
11044152.95,27256,4.1619,LC
