timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
6236609.96,23177,0.743,12.176,12.919
6236709.16,23179,4.119,11.909,16.028
6236718.48,23178,0.214,16.181,16.395
6236740.27,23177,0.102,12.386,12.488
6236762.33,23179,0.95,4.152,5.102
6236778.99,23178,0.106,4.243,4.349
6236934.87,23177,0.146,16.411,16.558
6236943.19,23179,2.033,13.097,15.13
6236966.78,23178,0.107,9.987,10.094
6237123.74,23177,0.157,12.47,12.627
6237136.38,23179,0.099,11.21,11.309
6237190.47,23177,0.093,4.321,4.414
6237203.28,23178,0.11,13.974,14.083
6237209.52,23179,1.273,8.194,9.467
6237240.65,23177,0.061,16.066,16.127
6237242.67,23178,1.027,21.608,22.635
6237244.75,23179,0.06,9.797,9.857
6237255.89,23177,2.552,11.032,13.583
6237284.42,23178,2.052,12.316,14.368
6237292.43,23179,0.748,12.353,13.101
6237305.1,23177,2.022,10.037,12.059
6237309.08,23178,0.049,11.992,12.041
6237315.04,23179,0.06,8.07,8.13
6237365.07,23177,0.076,7.952,8.029
6237369.24,23178,0.057,9.998,10.055
6237401.4,23179,0.081,12.858,12.939
6237449.61,23177,0.09,6.075,6.165
6237484.19,23178,2.03,16.099,18.129
6237512.1,23177,2.404,13.019,15.423
6237514.36,23179,0.647,17.64,18.287
6237535.33,23177,0.083,7.041,7.124
6237538.71,23178,1.762,17.898,19.659
6237555.03,23179,0.088,8.107,8.194
6237559.08,23178,0.067,6.406,6.472
6237561.43,23177,0.076,10.821,10.897
6237579.24,23179,1.522,9.039,10.561
6237602.09,23178,0.074,6.072,6.147
6237704.08,23177,0.108,14.806,14.914
6237709.53,23179,0.062,14.414,14.476
6237760.16,23178,2.345,10.052,12.397
6237783.74,23179,0.086,8.01,8.096
6237786.83,23177,0.08,11.377,11.457
6237800.27,23178,1.554,4.145,5.699
6237843.92,23179,0.063,10.824,10.887
6237844.08,23177,0.071,14.983,15.054
6237859.07,23177,2.312,8.992,11.305
6237864.21,23178,2.742,16.392,19.134
6237869.04,23179,0.085,6.988,7.074
6237929.3,23177,3.12,16.118,19.239
6237929.63,23178,0.093,13.648,13.741
6237935.9,23179,0.096,6.083,6.179
6237959.6,23177,4.017,15.507,19.524
6237966.0,23178,0.065,8.993,9.059
6238002.06,23179,0.071,4.94,5.011
6238012.87,23177,3.74,7.951,11.691
6238033.62,23178,0.069,6.11,6.179
6238082.13,23179,0.081,15.999,16.081
6238092.02,23177,4.021,7.949,11.97
6238096.93,23178,4.823,11.952,16.775
6238111.37,23179,0.07,8.246,8.316
6238121.77,23177,0.065,10.08,10.146
6238128.53,23178,0.078,4.132,4.211
6238167.66,23179,0.069,9.232,9.301
6238244.17,23177,0.079,11.043,11.122
6238283.13,23178,0.08,9.181,9.261
6238314.92,23179,0.076,8.98,9.056
6238323.14,23177,0.058,15.029,15.087
6238325.39,23178,0.048,14.125,14.174
6238338.29,23179,0.061,12.022,12.083
6238345.08,23177,2.069,10.962,13.03
6238379.99,23178,0.063,6.485,6.548
6238444.7,23179,0.12,15.122,15.242
6238470.42,23177,2.804,7.187,9.991
6238557.77,23178,0.108,12.536,12.644
6238568.42,23179,0.087,8.904,8.991
6238586.15,23177,1.036,8.037,9.073
6238670.67,23178,0.097,9.2,9.297
6238748.32,23179,2.024,12.208,14.232
6238777.68,23177,0.093,10.051,10.144
6238787.03,23178,1.06,15.911,16.971
6238787.45,23179,0.054,10.983,11.037
6238885.96,23177,5.167,8.841,14.008
6238984.26,23178,2.052,12.11,14.162
6239090.77,23179,0.134,8.788,8.922
6239191.15,23177,1.967,12.049,14.016
6239245.18,23178,0.091,4.026,4.117
6239316.1,23179,1.616,8.007,9.623
6239353.32,23177,0.087,4.172,4.259
6239369.51,23178,0.081,5.863,5.944
6239409.53,23179,0.094,5.989,6.083
6239481.12,23177,1.138,8.032,9.171
6239510.76,23178,0.082,12.085,12.167
6239633.61,23179,0.173,4.057,4.229
6239652.73,23177,0.104,11.197,11.301
6239677.09,23178,1.016,8.008,9.024
6239812.04,23179,0.145,5.604,5.749
6240002.65,23177,0.143,4.27,4.413
6240060.02,23178,0.171,7.756,7.928
6240068.73,23179,0.107,8.974,9.081
6240088.0,23178,2.161,7.924,10.084
6240098.16,23177,0.064,10.049,10.113
6240125.12,23179,0.177,3.895,4.073
6240130.87,23178,0.061,5.252,5.313
6240152.18,23177,0.086,8.194,8.28
6240156.23,23179,0.09,4.093,4.183
6240189.17,23177,1.585,14.032,15.617
6240221.85,23178,0.104,6.545,6.649
6240237.86,23179,0.069,4.336,4.405
6240247.09,23177,0.055,9.985,10.04
6240251.11,23179,0.057,8.087,8.144
6240255.14,23178,0.057,6.519,6.577
6240263.05,23177,0.069,5.941,6.01
6240276.32,23179,0.062,11.474,11.536
6240293.09,23178,0.073,16.115,16.187
6240293.49,23177,0.057,12.202,12.259
6240368.33,23179,0.073,9.208,9.281
6240371.42,23178,0.065,4.209,4.274
6240389.61,23179,0.495,18.076,18.571
6240393.49,23177,0.082,12.058,12.14
6240407.42,23178,0.075,11.197,11.272
6240412.0,23179,3.17,9.942,13.112
6240426.56,23177,0.058,19.006,19.064
6240430.53,23178,0.855,21.475,22.33
6240436.1,23179,0.071,12.41,12.481
6240448.0,23179,0.546,11.804,12.35
6240449.4,23177,0.642,22.721,23.363
6240451.17,23178,2.451,18.119,20.57
6240458.18,23179,3.092,10.046,13.137
6240469.64,23177,0.437,20.157,20.594
6240470.03,23178,0.045,18.751,18.795
6240492.18,23179,0.718,7.097,7.815
6240515.15,23177,0.084,11.965,12.05
6240546.14,23178,0.088,11.991,12.079
6240558.83,23179,0.077,5.06,5.137
6240572.66,23177,0.075,8.436,8.511
6240584.65,23178,0.076,10.09,10.166
6240600.56,23179,0.076,8.084,8.159
6240633.57,23177,0.164,4.459,4.623
6240688.66,23178,0.127,6.492,6.619
6240695.45,23179,0.074,8.318,8.392
6240747.41,23177,0.165,9.698,9.863
6240755.2,23178,0.077,14.348,14.425
6240793.4,23179,0.108,6.947,7.056
6240821.9,23177,0.081,4.758,4.839
6240831.22,23178,0.084,4.085,4.168
6240847.44,23177,0.058,14.587,14.645
6240843.0,23179,0.303,11.643,11.946
6240861.09,23178,0.064,7.983,8.047
6240884.25,23177,0.064,11.15,11.214
6240892.73,23179,0.054,12.131,12.185
6240902.16,23178,0.056,14.071,14.126
6240907.67,23177,0.06,5.571,5.631
6240919.55,23178,0.059,12.034,12.093
6240936.11,23179,0.072,11.994,12.066
6240938.72,23178,0.062,4.088,4.15
6240939.14,23177,1.078,7.064,8.142
6240951.4,23179,1.107,12.152,13.259
6240951.6,23178,2.56,10.551,13.111
6240951.79,23177,0.061,8.703,8.764
6240964.13,23179,0.071,4.062,4.133
6240976.45,23178,0.066,6.043,6.108
6240997.68,23177,0.057,16.028,16.085
6241010.09,23179,0.051,20.007,20.058
6241012.11,23178,0.052,18.024,18.076
6241071.2,23177,0.153,3.96,4.113
6241124.78,23179,0.125,10.18,10.305
6241140.63,23178,0.086,18.482,18.569
6241140.76,23177,0.076,9.078,9.154
6241151.85,23179,0.074,9.136,9.21
6241162.6,23178,0.059,14.038,14.097
6241175.72,23179,0.054,13.003,13.058
6241175.85,23177,1.986,17.799,19.785
6241182.54,23178,0.06,10.814,10.874
6241183.22,23177,0.046,7.262,7.308
6241209.26,23179,0.071,6.182,6.254
6241213.44,23178,0.085,6.295,6.381
6241291.62,23177,0.065,7.697,7.762
6241335.63,23179,0.08,7.099,7.179
6241344.23,23178,0.097,4.064,4.161
6241413.3,23177,0.079,5.17,5.249
6241417.41,23177,3.217,3.982,7.199
6241467.44,23179,4.021,17.231,21.252
6241474.06,23178,0.088,18.284,18.373
6241496.07,23177,0.082,19.188,19.27
6241501.37,23179,1.883,15.267,17.15
6241512.4,23178,0.143,16.047,16.189
6241521.96,23177,0.14,10.734,10.874
6241553.04,23178,0.153,5.442,5.596
6241643.4,23179,1.049,4.253,5.303
6241656.51,23177,0.125,4.083,4.208
6241938.39,23178,2.05,4.246,6.297
6241947.04,23179,0.08,3.899,3.98
6241965.39,23177,0.107,4.109,4.217
6241969.72,23178,0.068,4.03,4.098
6242012.08,23179,0.077,3.942,4.02
6242162.89,23177,0.156,4.012,4.168
6242311.21,23178,2.041,4.091,6.132
6242317.09,23179,0.096,3.963,4.059
6242450.63,23177,0.128,4.327,4.454
6242530.45,23179,1.133,6.247,7.38
6242530.76,23178,0.141,8.553,8.694
6242553.56,23177,0.094,4.036,4.13
6242597.12,23179,0.145,3.921,4.065
6242637.11,23178,0.101,3.951,4.052
6242646.51,23177,0.082,4.041,4.123
6242652.11,23179,1.481,4.0,5.482
6242821.81,23178,0.119,3.928,4.046
6242881.14,23177,0.093,3.988,4.082
6242903.07,23178,0.69,3.942,4.631
6242903.33,23179,2.041,8.229,10.27
6242958.94,23177,0.097,4.035,4.131
6242984.95,23178,4.033,7.869,11.902
6242985.44,23179,0.053,5.103,5.156
6243013.34,23177,0.085,4.065,4.15
6243039.15,23178,0.106,4.989,5.096
6243079.11,23179,0.089,5.963,6.052
6243099.09,23177,0.068,3.965,4.032
6243145.43,23178,0.222,5.005,5.227
6243153.62,23179,0.091,3.898,3.989
6243160.69,23177,0.08,3.932,4.012
6243180.11,23178,0.092,4.056,4.148
6243204.99,23179,0.079,3.922,4.0
6243213.39,23177,0.074,4.028,4.102
6243230.31,23178,1.026,4.238,5.264
6243300.3,23179,0.081,6.166,6.247
6243301.04,23177,0.061,3.926,3.987
6243319.69,23178,0.073,4.052,4.125
6243330.96,23179,1.022,3.904,4.925
6243347.39,23177,0.077,4.018,4.095
6243366.03,23178,0.09,4.053,4.143
6243422.37,23179,0.077,4.246,4.323
6243434.84,23177,0.058,4.093,4.151
6243447.36,23178,0.063,8.049,8.112
6243447.49,23179,0.047,5.413,5.46
6243451.06,23177,0.046,3.985,4.031
6243460.36,23178,0.085,8.079,8.164
6243462.49,23179,1.523,4.429,5.952
6243466.82,23177,0.053,4.067,4.12
6243557.02,23178,0.55,8.4,8.951
6243557.21,23179,0.782,7.116,7.898
6243570.61,23177,0.083,4.668,4.751
6243595.29,23178,1.029,4.205,5.234
6243688.58,23179,0.113,4.062,4.175
6243694.58,23177,0.109,4.085,4.194
6243766.64,23178,0.109,4.038,4.147
6243778.08,23179,0.089,3.942,4.032
6243781.3,23177,0.064,4.174,4.239
6243814.47,23179,0.743,6.39,7.132
6243844.14,23178,0.089,4.011,4.1
6243862.07,23177,0.088,3.971,4.059
6243866.31,23179,0.06,3.971,4.031
6243886.15,23178,0.165,4.15,4.315
6243894.12,23177,0.062,4.01,4.072
6243906.08,23179,0.063,3.972,4.036
