timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
8288993.13,19902,1.469,5.159,6.629
8289024.8,19903,0.49,4.543,5.034
8289091.17,19904,0.685,7.853,8.539
8289106.14,19902,0.278,6.891,7.169
8289146.49,19903,0.356,10.601,10.957
8289173.98,19904,0.349,9.847,10.196
8289263.86,19902,0.579,8.527,9.106
8289299.27,19903,0.389,5.813,6.203
8289357.65,19904,0.936,8.2,9.137
8289512.56,19902,0.821,8.943,9.764
8289531.84,19903,0.365,11.179,11.544
8289534.7,19904,3.26,10.481,13.741
8289557.12,19902,0.256,4.474,4.73
8289614.37,19903,0.633,7.088,7.721
8289641.12,19904,0.231,4.301,4.532
8289655.37,19902,0.152,4.337,4.488
8289743.28,19903,0.182,5.517,5.7
8289816.95,19904,0.481,7.406,7.888
8289825.16,19902,0.195,4.984,5.179
8289949.38,19903,0.226,9.034,9.26
8289973.7,19904,0.18,5.397,5.577
8290030.23,19902,0.424,6.084,6.508
8290049.75,19903,0.138,4.818,4.956
8290130.45,19904,0.165,4.126,4.29
8290180.29,19902,0.556,10.578,11.133
8290196.56,19903,0.148,6.287,6.435
8290227.9,19904,0.456,7.144,7.6
8290295.08,19902,0.272,5.696,5.968
8290301.41,19903,0.205,4.703,4.908
8290349.44,19904,0.267,9.547,9.814
8290375.85,19902,0.223,11.501,11.725
8290377.53,19903,0.106,12.197,12.304
8290385.56,19904,0.248,5.037,5.286
8290439.88,19902,1.254,10.536,11.79
8290479.21,19903,0.245,4.497,4.742
8290523.89,19904,0.315,9.347,9.662
8290700.76,19902,0.188,9.33,9.518
8290740.46,19903,0.594,5.993,6.586
8290870.28,19904,0.328,5.793,6.121
8290888.35,19902,0.223,14.356,14.578
8290913.1,19903,0.18,5.751,5.931
8290914.6,19904,0.143,5.309,5.452
8290970.07,19902,0.177,4.04,4.216
8290976.24,19903,0.135,4.146,4.281
8291008.59,19904,0.128,4.009,4.137
8291090.78,19902,0.323,4.267,4.591
8291227.37,19903,0.153,4.326,4.479
8291288.79,19904,0.269,4.63,4.9
8291388.22,19902,0.287,11.263,11.549
8291587.48,19903,0.401,5.295,5.696
8291642.31,19904,0.235,6.642,6.877
8291650.92,19902,0.272,5.416,5.687
8291691.59,19903,0.233,4.242,4.474
8291744.1,19904,0.598,9.434,10.031
8291795.31,19902,0.187,5.079,5.266
8291908.57,19903,0.313,5.154,5.468
8291916.46,19904,0.244,4.048,4.292
8291924.69,19902,0.116,11.807,11.923
8292031.32,19903,0.498,6.133,6.631
8292173.11,19904,0.237,4.96,5.197
8292175.28,19902,0.23,4.431,4.661
8292257.18,19903,0.499,10.098,10.596
8292267.43,19904,0.181,9.955,10.137
8292278.64,19902,0.09,4.822,4.912
8292362.67,19903,0.242,4.363,4.605
8292437.05,19904,0.147,7.75,7.897
8292467.7,19902,0.386,4.295,4.681
8292479.97,19903,0.15,5.089,5.239
8292486.76,19904,0.327,4.438,4.765
8292516.08,19902,0.187,7.732,7.919
8292526.84,19903,0.17,4.104,4.274
8292565.44,19904,0.222,4.978,5.2
