timestamp_ms,pid,cpu_burst_ms,ground_truth
2863394.14,14486,30.4918,BG
2863402.24,14483,6.5508,LC
2863468.05,14486,24.5716,BG
2863471.03,14484,6.1411,LC
2863475.91,14485,7.2528,LC
2863476.12,14483,4.8435,LC
2863582.14,14483,4.1054,LC
2863588.15,14484,21.9355,LC
2863591.35,14485,14.2369,LC
2863598.71,14486,78.5329,BG
2863621.07,14483,4.5307,LC
2863624.04,14484,4.658,LC
2863657.15,14485,4.5142,LC
2863674.75,14486,25.8702,BG
2863752.15,14486,25.8362,BG
2863771.22,14483,4.1894,LC
2863826.04,14486,25.2919,BG
2863844.92,14484,9.7569,LC
2863901.71,14486,25.5386,BG
2863909.04,14485,4.2804,LC
2863981.04,14483,8.1916,LC
2863981.23,14486,29.2615,BG
2864057.72,14486,26.2964,BG
2864073.88,14484,4.1423,LC
2864092.22,14485,3.969,LC
2864126.19,14483,6.0483,LC
2864135.59,14486,27.8146,BG
2864194.21,14484,4.6658,LC
2864209.59,14486,23.7983,BG
2864284.19,14486,24.2997,BG
2864349.46,14485,5.7942,LC
2864359.67,14486,25.2927,BG
2864418.87,14483,4.1785,LC
2864444.38,14484,10.2933,LC
2864444.47,14486,34.5811,BG
2864444.59,14485,5.431,LC
2864484.65,14483,4.0678,LC
2864495.74,14484,4.0156,LC
2864520.07,14486,25.5206,BG
2864581.23,14485,5.7726,LC
2864598.4,14486,28.1565,BG
2864675.03,14486,26.3785,BG
2864750.1,14486,23.4842,BG
2864752.55,14483,4.2964,LC
2864806.18,14484,4.6385,LC
2864823.83,14485,4.4384,LC
2864826.53,14486,27.79,BG
2864901.71,14486,24.8927,BG
2864939.26,14483,4.1372,LC
2864975.35,14486,23.0717,BG
2865048.86,14486,23.3242,BG
2865084.37,14484,6.1348,LC
2865122.79,14486,23.6366,BG
2865160.48,14485,4.238,LC
2865168.96,14483,4.1999,LC
2865195.86,14486,23.0327,BG
2865223.06,14484,6.0811,LC
2865223.23,14485,3.9407,LC
2865252.05,14483,4.3225,LC
2865268.16,14484,6.2694,LC
2865270.92,14486,25.0837,BG
2865335.56,14485,8.2469,LC
2865349.2,14486,28.0767,BG
2865355.66,14483,6.0332,LC
2865388.93,14484,4.182,LC
2865422.6,14486,23.2059,BG
2865431.68,14485,5.9097,LC
2865440.91,14483,4.3164,LC
2865457.8,14484,8.0514,LC
2865458.02,14485,6.2578,LC
2865462.15,14483,4.3834,LC
2865483.61,14485,3.9912,LC
2865495.85,14486,23.1667,BG
2865530.87,14484,4.3486,LC
2865565.58,14483,6.9446,LC
2865575.1,14486,29.0927,BG
2865595.81,14485,4.0697,LC
2865650.15,14486,24.8474,BG
2865691.17,14484,4.4486,LC
2865723.38,14486,23.119,BG
2865729.69,14483,3.8023,LC
2865798.49,14486,24.8504,BG
2865809.04,14485,5.3231,LC
2865862.66,14484,4.4472,LC
2865877.12,14483,6.8613,LC
2865878.12,14486,29.5655,BG
2865927.29,14485,4.2277,LC
2865934.04,14484,4.1116,LC
2865951.19,14486,22.9126,BG
2865982.28,14483,3.9591,LC
2865995.26,14485,3.8886,LC
2866024.24,14486,22.7616,BG
2866055.22,14484,4.0459,LC
2866097.46,14486,23.1295,BG
2866119.12,14483,6.1965,LC
2866159.46,14485,4.0947,LC
2866171.09,14486,23.4683,BG
2866244.4,14486,23.0035,BG
2866291.27,14484,6.0997,LC
2866318.58,14486,24.2565,BG
2866392.25,14485,3.9535,LC
2866395.86,14484,5.9922,LC
2866396.31,14483,10.0775,LC
2866402.15,14486,33.481,BG
2866449.25,14485,4.7123,LC
2866476.09,14486,23.7675,BG
2866555.44,14486,29.0178,BG
2866635.17,14486,29.6023,BG
2866641.37,14483,4.2318,LC
2866701.29,14484,4.0638,LC
2866706.07,14485,4.0318,LC
2866711.16,14486,25.7092,BG
2866785.14,14486,23.5026,BG
2866791.88,14483,6.3635,LC
2866858.15,14486,22.9147,BG
2866868.93,14484,3.9292,LC
2866923.15,14485,8.605,LC
2866936.47,14486,28.3715,BG
2866954.91,14483,4.1394,LC
2867003.61,14484,8.1248,LC
2867015.73,14486,27.547,BG
2867029.14,14485,5.7218,LC
2867036.02,14483,3.9975,LC
2867048.87,14484,4.0856,LC
2867089.91,14486,24.0003,BG
