timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
4293547.13,20546,0.641,4.075,4.716
4293564.71,20545,0.193,3.969,4.162
4293602.18,20547,1.634,4.775,6.409
4293619.22,20546,0.242,4.004,4.246
4293712.8,20545,1.59,11.471,13.062
4293805.0,20547,0.216,6.292,6.509
4293809.89,20546,0.141,4.555,4.695
4293951.83,20545,1.697,4.501,6.198
4294000.4,20547,1.753,7.372,9.125
4294046.54,20546,0.183,4.649,4.832
4294083.66,20545,0.273,11.112,11.385
4294178.34,20547,0.251,5.088,5.339
4294237.52,20546,0.165,5.66,5.825
4294347.47,20545,0.209,4.329,4.538
4294482.04,20547,0.332,7.893,8.225
4294499.87,20546,0.126,7.613,7.739
4294614.98,20545,0.219,5.284,5.503
4294621.39,20547,0.085,4.368,4.453
4294700.23,20546,0.168,4.358,4.525
4294702.54,20545,1.126,4.354,5.48
4294730.92,20547,0.193,4.896,5.089
4294737.31,20546,0.096,4.6,4.696
4294750.98,20545,0.115,6.523,6.638
4294753.25,20547,0.1,5.174,5.274
4294775.55,20546,0.093,4.122,4.215
4294778.2,20545,0.073,4.872,4.946
4294804.23,20547,0.112,4.319,4.431
4294823.14,20546,0.096,4.403,4.498
4294825.54,20545,0.06,4.42,4.48
4294833.11,20547,0.075,4.192,4.268
4294839.98,20546,0.083,3.961,4.045
4294947.95,20545,0.19,5.946,6.137
4294951.19,20547,0.116,6.446,6.562
4294966.06,20546,0.129,4.233,4.362
4294976.41,20545,0.121,3.893,4.014
4294992.9,20547,0.324,7.617,7.941
4294996.3,20546,0.753,5.342,6.095
4295005.73,20547,0.209,3.888,4.096
4295037.53,20545,0.313,4.896,5.21
4295055.37,20546,0.254,4.34,4.594
4295082.71,20547,0.261,4.056,4.317
4295140.32,20545,0.564,6.334,6.897
4295173.1,20546,0.249,4.489,4.738
4295174.41,20547,0.108,5.186,5.294
4295191.96,20545,0.927,12.466,13.393
4295193.04,20546,1.946,10.817,12.763
4295193.32,20547,0.938,10.222,11.16
4295196.55,20545,3.93,4.434,8.364
4295229.67,20546,0.189,4.038,4.227
4295252.74,20547,0.249,4.732,4.981
4295275.83,20545,0.236,4.258,4.494
4295295.51,20547,0.074,11.285,11.359
4295298.07,20545,0.084,11.889,11.973
4295299.19,20546,0.167,16.8,16.967
