timestamp_ms,pid,cpu_burst_ms,ground_truth
4293549.2,20546,4.0749,LC
4293564.96,20545,3.9693,LC
4293568.39,20548,28.498,BG
4293602.21,20547,4.7745,LC
4293619.76,20546,4.0041,LC
4293645.04,20548,25.8564,BG
4293713.22,20545,11.4713,LC
4293750.47,20548,56.0073,BG
4293809.1,20547,6.2922,LC
4293810.2,20546,4.5547,LC
4293829.04,20548,26.7217,BG
4293930.87,20548,49.0542,BG
4293952.22,20545,4.5007,LC
4294001.22,20547,7.3719,LC
4294014.2,20548,33.4882,BG
4294046.32,20546,4.6492,LC
4294083.47,20545,11.1115,LC
4294108.32,20548,44.0068,BG
4294178.38,20547,5.0878,LC
4294185.22,20548,26.7785,BG
4294237.56,20546,5.66,LC
4294259.05,20548,23.3808,BG
4294334.17,20548,24.9641,BG
4294347.37,20545,4.329,LC
4294408.64,20548,24.2906,BG
4294482.39,20547,7.8928,LC
4294482.47,20548,23.6939,BG
4294500.13,20546,7.6129,LC
4294556.5,20548,23.0173,BG
4294615.05,20545,5.2837,LC
4294621.52,20547,4.3676,LC
4294635.87,20548,29.0758,BG
4294700.1,20546,4.3576,LC
4294702.43,20545,4.3537,LC
4294710.55,20548,24.5873,BG
4294730.81,20547,4.8965,LC
4294737.2,20546,4.6003,LC
4294750.89,20545,6.5227,LC
4294753.16,20547,5.174,LC
4294776.95,20546,4.1222,LC
4294778.09,20545,4.8722,LC
4294788.17,20548,27.5358,BG
4294804.12,20547,4.3189,LC
4294820.8,20546,4.4026,LC
4294825.44,20545,4.4204,LC
4294833.01,20547,4.1925,LC
4294839.88,20546,3.9614,LC
4294861.97,20548,23.683,BG
4294936.79,20548,24.2001,BG
4294950.17,20545,5.9464,LC
4294951.09,20547,6.4455,LC
4294965.98,20546,4.2329,LC
4294976.49,20545,3.8929,LC
4294993.45,20547,7.6174,LC
4294996.43,20546,5.3419,LC
4295005.59,20547,3.8877,LC
4295012.44,20548,25.6746,BG
4295037.32,20545,4.8965,LC
4295054.96,20546,4.3398,LC
4295082.6,20547,4.0561,LC
4295086.52,20548,24.119,BG
