timestamp_ms,pid,scheduling_delay_ms,service_time_ms,total_latency_ms
1567727.07,8238,1.822,6.235,8.056
1567821.82,8240,0.678,4.197,4.874
1567874.11,8239,2.397,4.08,6.478
1567922.37,8238,0.328,7.672,8.001
1567933.5,8240,0.193,4.2,4.393
1567955.35,8239,0.863,15.117,15.98
1567955.83,8240,2.077,6.688,8.766
1567959.39,8238,0.072,16.143,16.215
1567968.4,8239,0.791,12.894,13.684
1567991.38,8240,0.306,4.403,4.709
1567995.93,8238,0.271,7.314,7.585
1568006.82,8239,0.2,4.11,4.31
1568043.31,8240,0.122,7.284,7.406
1568060.61,8238,0.095,6.45,6.545
1568091.67,8239,0.127,7.091,7.218
1568152.85,8240,1.039,6.694,7.732
1568162.38,8238,0.139,6.777,6.917
1568186.3,8239,0.234,4.181,4.415
1568202.11,8240,0.124,7.902,8.025
1568215.74,8238,1.055,7.619,8.674
1568233.78,8239,0.116,11.594,11.711
1568248.3,8240,0.142,8.988,9.13
1568260.7,8238,0.151,4.228,4.379
1568282.68,8239,0.227,10.363,10.59
1568284.84,8240,0.058,10.987,11.045
1568285.33,8238,0.77,9.242,10.012
1568303.36,8239,0.151,4.323,4.474
1568323.53,8240,0.134,10.611,10.745
1568353.97,8238,0.134,11.303,11.437
1568356.86,8239,0.057,11.226,11.283
1568371.68,8240,0.195,4.509,4.704
1568375.39,8238,0.204,4.376,4.58
1568380.34,8239,0.18,4.173,4.352
1568414.68,8240,1.095,7.48,8.575
1568443.34,8238,0.139,9.309,9.448
1568445.43,8239,0.096,4.558,4.654
1568453.0,8240,0.147,5.119,5.266
1568454.21,8238,0.105,4.267,4.372
1568458.76,8238,0.993,4.372,5.365
1568461.17,8239,1.288,7.99,9.279
1568461.94,8240,0.052,5.54,5.592
1568485.29,8238,0.135,9.91,10.045
1568486.13,8239,0.074,6.999,7.074
1568491.47,8240,0.076,10.662,10.738
1568509.74,8238,1.123,10.631,11.755
1568533.31,8239,0.207,4.992,5.198
1568560.82,8240,0.245,5.9,6.145
1568612.65,8238,0.165,8.211,8.376
1568625.06,8239,0.133,7.109,7.242
1568652.21,8240,0.168,5.239,5.407
1568657.71,8238,0.124,5.051,5.175
1568729.36,8239,0.138,5.759,5.897
1568840.6,8240,1.925,8.579,10.504
1568888.29,8238,0.205,4.329,4.534
1568892.74,8239,0.437,4.242,4.679
1568954.67,8240,0.182,4.114,4.295
1568962.83,8238,0.155,4.569,4.723
1568987.63,8239,1.731,4.123,5.853
1569009.65,8240,2.209,7.323,9.532
1569032.43,8238,0.097,13.066,13.164
1569032.89,8239,0.077,18.88,18.957
1569037.74,8240,1.062,19.448,20.51
1569038.49,8239,14.418,5.46,19.879
1569042.12,8238,14.423,9.531,23.953
1569045.41,8240,2.562,7.405,9.967
1569049.95,8239,0.69,4.418,5.108
1569068.78,8240,0.385,8.596,8.981
1569086.62,8238,0.164,9.646,9.81
1569091.22,8239,0.144,4.313,4.457
1569093.59,8240,0.075,5.46,5.535
1569107.36,8238,0.139,4.002,4.141
1569123.82,8239,0.964,11.684,12.648
1569131.38,8240,0.113,12.734,12.846
1569145.45,8238,0.171,4.006,4.177
1569157.18,8239,0.102,10.106,10.208
1569192.38,8240,0.168,9.078,9.245
1569203.32,8238,0.131,7.082,7.212
1569206.58,8239,0.072,8.207,8.279
1569217.97,8240,0.116,8.024,8.141
1569222.48,8238,0.075,9.229,9.304
1569250.21,8239,0.19,4.101,4.291
1569254.46,8240,0.513,4.032,4.545
1569272.47,8238,0.069,5.882,5.952
1569272.58,8239,0.114,7.691,7.804
1569296.21,8240,0.106,7.891,7.997
1569299.87,8239,1.201,7.735,8.936
1569323.05,8238,0.118,6.966,7.084
1569323.82,8240,0.08,9.242,9.322
1569324.46,8239,0.091,8.312,8.403
1569331.11,8238,0.149,4.117,4.266
1569367.42,8240,0.184,8.186,8.369
1569368.45,8239,0.103,5.286,5.389
1569377.73,8238,0.104,8.422,8.527
1569412.65,8239,0.158,5.101,5.259
1569432.29,8240,0.193,4.085,4.278
1569443.82,8238,0.135,4.064,4.199
1569501.55,8239,0.207,4.36,4.566
1569593.59,8240,0.167,10.737,10.905
1569595.35,8238,0.069,9.334,9.403
1569594.64,8239,0.056,5.817,5.873
1569597.76,8240,1.008,4.043,5.051
1569600.05,8238,0.804,4.525,5.329
1569610.41,8239,0.092,8.165,8.257
1569617.69,8240,0.079,7.127,7.206
1569638.36,8238,0.087,7.397,7.484
1569638.96,8239,0.097,4.49,4.586
1569655.05,8240,0.094,6.173,6.267
1569678.06,8238,0.179,4.024,4.203
1569810.77,8239,1.296,6.787,8.083
1569811.3,8240,0.353,5.881,6.235
1569834.05,8238,0.115,4.154,4.269
1569850.31,8239,1.382,8.176,9.559
